Nom;Secteurs d'activité;Adresse du siège social;CP;Localité;Email
Familiale d'entraide;Affaires Sociales;Rue Trieu Kaisin 289;6061;Montignies-sur-Sambre;kaddour-abdelkrim@outlook.fr
Fédération belge d'airsoft;Loisirs;chaussée de Nivelles 167;7181;Seneffe;thor.fast1@gmail.com
Fédération des maisons de jeunes en belgique francophone;Jeunesse;Rue aux Cheveaux 8;4000;Liège;fmj@fmjbf.org
Fédération francophone des ecoles de devoirs;Education;Place St-Christophe 8/2e étage;4000;Liège;info@ffedd.be
Fédération des employeurs des secteurs des organisations de jeunesse, des fédérations de centres de jeunes et du tourisme social;Jeunesse;Rue des tanneurs 186;1000;Bruxelles;info@fesoj.be
Festival musical les printemps de saint laurent;Culture;Rue des Fougères 136;6010;Couillet;christian.delcoux@skynet.be
Fêtes du scapé;Culture;Rue des Grands Trieux 125;6031;Monceau-sur-Sambre;sergebeghin@freegates.be
Galilée;Nature / environnement;Place communale 20B;6230;Pont-à-celles;pascal@galileeasbl.com
Ghost of soldiers team;Sport / Loisirs;Rue Noir Dieu 9;6060;Gilly;daniel_roelandt@skynet.be
Groupe d'aide a la recherche et a l'information sur le psoriasis;Santé;rue du moria 36;6032;Mont-sur-Marchienne;info@gipso.info
Grand hôpital de charleroi  (site saint thérèse);Santé;Rue Trieux Kaisin 134;6061;Montignies-sur-Sambre;germaine.deberg@ghdc.be
Horizonomade;immigration / Intégration;Chaussée de Fleurus 293;6060;Gilly;horizonomade@boitmail.net
Houbois les aide;Affaires Sociales;Chaussée de Gilly 160;6040;Jumet;vangeel.houbois.les aide@gmail.com
Hunia castellum Cercle d'histoire de Jumet;Culture / Tourisme;Place du Prieuré 10;6040;Jumet;paddy.cordier@skynet.be
IMP-ACT;Culture;Passage de la Bourse 19;6000;Charleroi;lola_destercq@live.be
Infor'nature;Nature / environnement;Place Gambetta 30;6044;Roux;info@infornature.be
Jardin d'airemont;Enfance / Jeunesse;Rue Bois d'Airemont 25;6032;Mont-sur-Marchienne;dir.jardindairemont@skynet.be
Jeunesse et vie;Culte;Rue Thomas Bonehill 31;6030;Marchienne-au-Pont;murru@skynet.be
Judo club optimal;Sport;Rue du Cimetière  34;6030;Marchienne-au-Pont;judoptimal@gmail.com
Judo kodokan fontaine l'evêque;Sport;Rue de Forchies 113;6182;Souvret;agab5w3@hotmail.com
Juillet musical d'aulne;Culture;chemin de Halage 6;6111;Landelies;francoise.vanroy@skynet.be
Kamer football club;Sport;Rue Victor Lucq 33;6040;Jumet;kamermounafoot@yahoo.fr
Kluh;Culture;Rue Maximilien Luce, 16;6010;Couillet;julienverbayst@hotmail.com
L' emploi autrement;Affaires sociales;Rue de Gilly 503;6200;Châtelineau;laure.barbet@gmail.com
La pioche;Santé;Rue Royale 95;6030;Marchienne-au-Pont;lapiocheasbl@yahoo.fr
L'atelier lovervalois;Culture / tourisme;Rue des Morlères 2;6280;Loverval;caudron.pierre@gmail.com
Le baluchon;Nature / environnement;Rue de Montigny 29;6000;Charleroi;lebaluchon@yahoo.fr
Le service familial de charleroi;Affaires Sociales;Avenue Mascaux 88;6001;Marcinelle;bettypilays@serfam.be
Le signe;Jeunesse;Rue du Laboratoire 27;6000;Charleroi;lesigne@skynet.be
Le souvrabble;Loisirs;Rue de Jumet  377;6030;Marchienne-au-Pont;scrabble@souvrabble.be
Magiciens conteurs;Culture / loisirs;Rue du Faubourg 48;6250;Aiseau;revusmagic@htomail.com
Leika-trans-rescue;Bien-être des animaux;Rue Montereale Valcellina 1;6110;Montigny-le-Tilleul;leika-trans-rescue@outlook.com
L'envol jeunesse;Jeunesse;rue du roi chevalier 31;6220;Wangenies;info@lenvoljeunesse.be
Les amis de la plaine des jeux de ransart;Enseignement;Rue Vigneron 234;6043;Ransart;dullier.vital@gmail.com
Les amis de l'envol;Handicap;Zoning de Jumet 1ère rue 23;6040;Jumet;info@lenvolcharleroi.be
Les amis des musées de la ville de charleroi;Culture;Place Charles II, Hôtel de Ville 2ème étage;6000;Charleroi;chantal.mangeot@charleroi.be
Les amis d'houdini;Culture;Rue Winston Churchill 99;6180;Courcelles;claude_magis@hotmail.com
Les forgerons, histoire de faire;Culture;Avenue de Wallonie 123;6180;Courcelles;lesforgerons.asso@gmail.com
L'espoir;Famille;Rue Léopold 70;6061;Montignies-Sur-Sambre;direction@espoir-spf.be
L'esprit s'insère;Culture;Rue Paul Janson 16;6150;Anderlues;o-taymansregis@hotmail.com
Ligue belge de la sclérose en plaques - communauté française;Santé;Rue Brigade Piron 330;6061;Montignies-sur-Sambre;dgrisay@ligue.ms-sep.be
Lions club charleroi sextant;Affaires sociales;Rue de l'Athénée 4/2;6000;Charleroi;maurice.roch@skynet.be
Lire et ecrire charleroi sud hainaut;Formation;Rue de Marcinelle 42;6000;Charleroi;charleroi.sud.hainaut@lire-et-ecrire.
Lire et ecrire wallonie;Formation;Rue Artoisenet 7;5000;Namur;coordination.wallonne@lire-et-ecrire.be
Luz verde prodis;Culture;Rue des Erables 11;6030;Goutroux;luz.verde.prodis@gmail.com
Maison de la presse de charleroi;Culture;Rue Tumelaire 15;6000;Charleroi;maison.presse@skynet.be
Maison de quartier de gilly;Affaires sociales;Rue Pont d'Arcole 353;6000;Charleroi;maisonquartiergilly@skynet.be
Centre communautaire - Maison de quartier el maujone - Chatelet;Affaires sociales;Rue de Bouffioulx 12;6200;Châtelet;elmaujonehotmail.com ou sarah_elmaujonehotmail.com
Monceau-fontaines asbl;gestion et finances;Rue de Monceau-Fontaine 42/1;6031;Monceau-sur-Sambe;bc@monceau-fontaines.be
œuvres royales de la saint nicolas charleroi;Affaires sociales;Boulevard Audent 16;6000;Charleroi;rogercurnel@gmail.com
Centre d'entrainement de plongee;Sport / Loisirs;Rue de Montigny 103;6000;Charleroi;lebrundidier@hotmail.com
Orisha;Affaires sociales;Rue de Bans 35;6001;Marcinelle;camilledanneels@gmail.com
Palais des beaux-arts;Culture;Place du Manège;6000;Charleroi;a.ciavarella@pba.be
Passerelle/funoc;Emploi / formation;Rue de Trazegnies 41;6031;Monceau-sur-Sambre;passerelle@commu.be
Peuples solidaires belgique;Affaires Sociales;rue des sept actions 27B;6060;Gilly;peuples.solidaires@gmail.com
Plate-forme de concertation en soins palliatifs du hainaut oriental;Santé;Espace Santé, Boulevard Zoé Drion, 1;6000;Charleroi;soins.palliatifs@skynet.be
Poney club de buisseret;Sport / Loisirs;Rue du Chauffour 235;6181;Gouy-lez-Piéton;poneyclub.buisseret@skynet.be -contact@pcbuisseret.be
Presenza e cultura italiana  a.i;Culture / Tourisme;Rue du Spignat, 31;6030;Marchienne-au-Pont;marcello.conserva@skynet.be
Promigrantibus  (service pastoral des migration);immigration / Intégration;Rue de Marchienne 12;6000;Charleroi;musimarclaude@yahoo.fr
Régie de quartier de marchienne-au-pont;Affaires sociales;Rue du Spignat 93/1;6030;Marchienne-au-Pont;
Relogeas;Affaires sociales;Rue de Monceau-Fontaine 42/11;6031;Monceau-sur-Sambre;serge.dewulf@relogeas.be
Réseau médico-psychologique ambulatoire de charleroi;Santé;Avenue du Centenaire 75;6061;Montignies-sur-Sambre;trametis@gmail.com
Rotary club charleroi 7;Affaires sociales;Boulevard Joseph II 60;6000;Charleroi;patrick@vkerkhoven.be
Royal gosselies sport athletisme;Sport;Rue de Heigne  6;6230;Viesville;fc660045@skynet.be
Association de sciences et bonnes mœurs Semerkand;immigration / Intégration;Rue Petite Aise 47;6061;Montignies-sur-Sambre;semerkandcharleroi@hotmail.com
Service d'aide  psychologique d'urgence de la région de charleroi;Santé;Rue Jean-Joseph Piret 23;6280;Gerpinnes;christophebellet@hotmail.com
Servio;Culture / Tourisme;Rue Octave de Falleur 1;6040;Jumet;jacques.semal@base.be
Shark family;Culture;Rue Bois Madame 37;6032;Mont-sur-Marchienne;sarafianos.gregory@kcity.be
Sprint 2000 charleroi;Sport / Loisirs;Rue Tulia Adam 6;6001;Marcinelle;leon.vlancker@belgacom.net
Tep afrique;immigration / Intégration;Avenue général Michel 1B;6000;Charleroi;
Théâtre de marionnettes chiffons et chaussettes;Culture;Rue Delbruyère 16;6032;Mont-sur-Marchienne;franxabi2009@hotmail.fr
V.68 center asbl;gestion et finances;Boulevard Tirou 17;6000;Charleroi;
Vah europe;Culture / Tourisme;Rue de la Rivelaine 54/1/1;6061;Montignies-sur-Sambre;vaheurope@gmail.com
2 connect;Affaires sociales;Rue de la Broucheterre 53/1;6000;Charleroi;
Académie André Souris de marchienne-au-pont;Culture;Rue de Châtelet 28;6030;Marchienne-au-Pont;aca.marchienne@gmail.com
Acanthe;Culture;Rue Docteur Morlet, 53;6020;Charleroi;acanthe@hotmail.com
Accueil et promotion au services des immigrés;Immigration et intégration;Rue de la Providence 10;6030;Marchienne-au-Pont;apimm@commu.be
Africa rise;Affaires sociales;Rue du Grand Central 52;6000;Charleroi;asblafricarise@gmail.com
Allo candy;Enfance/Jeunesse;Rue Louis Bréguet 9;6041;Gosselies;allo-candy@scarlet.be
Amicale de l'athénée royal yvonne vieslet (aarm);Enseignement;Rue des remparts 35;6030;Marchienne au Pont;mtdewitte@yahoo.com
Amicale des enseignants du cecs la garenne;Enseignement;Rue de Lodelinsart 200;6000;Charleroi;garenne@brutele.be
Amoureux de basketball / ADDICTED TO BASKETBALL;Sport / Loisirs;Rue Tienne Saint-Gilles, 254;6010;Couillet;yanga2004@hotmail.com
Assemblée chrétienne;Culte;Rue de Forrière 321;6180;Courcelles;ac.courcelles@belgacom.net
Association culture haut-fourneau 4 du coeur de charleroi;Culture/Tourisme;Rue de Gilly 265;6010;Couillet;
Association culturelle et de l'amitié belgo-turque;Immigration/Intégration;Place des Combattants 8 /1 A;6030;Marchienne au Pont;belturk87marchienne@gmail.com
Association culturelle et éducative de la société protectrice des animaux de charleroi;Bien-être des animaux;Rue E. Vandervelde 115;6032;Mont-sur-Marchienne;bsrc@live.be
Association des centres de coordination de soins et services à domicile;Santé;Boulevard Zoé Drion 1/ 2è étage;6000;Charleroi;accoord@skynet.be
Association des parents et enseignants de l'école communale des haies;Enseignement;Rue du Longtry 41;6032;Mont-sur-Marchienne;montsurmarchienne.ecole56@brutele.be
Association des ressortissants guinéens et sympathisants de charleroi;Immigration/Intégration;Avenue de l'Europe 15;6031;Monceau-sur-Sambre;msacko2001@yahoo.fr
Association portugaise région charleroi et centre;Immigration/Intégration;Rue du Spinois 68;6041;Gosselies;joaquimjgv@hotmail.com
Association royale confraternelle des disciples de saint eloi de jumet heigne (arcd);Culte;Avenue Centrale 50;6001;Marcinelle;danczuksa@msn.com
Association royale des masters en sciences de l'ingénieur industriel du hainaut;Justice et droit;Rue Fagnart 18;6000;Charleroi;aiih.courrier@gmail.com
Association secours canins;Bien-être des animaux;Rue Jacques Léon;6040;Jumet;beschiltz@voo.be
Association wallonie bruxelles de basket-ball;Sport;Rue des Hauchies 108;6010;Couillet;l.lopez@awbb.be
Atelier piet vandenhende;Culture;Rue Désandrouin 11;6000;Charleroi;piet.vandenhende@hotmail.be
Autonomie;Handicap;Rue du Douaire 40;6150;Anderlues;autonomie@mc.be
Avenir du jeu de balle de bersillies-l'abbaye;Sport / Loisirs;Rue de Cousolre 27;6560;Bersillies -l'Abbaye;quentinbauval@skynet.be
Axe formation emploi;Affaires sociales;Rue de Wangenies 67;6220;Fleurus;secretariat@axeformationemploi.net
Badema;Culture;Rue Joseph Caramin 16;6280;Gerpinnes;phil743@infonie.be
Bibliothèque M. Yourcenar;Culture;Place Albert 1 er /  Château de Cartier 38;6030;Marchienne-au-Pont;serge.budahazi@charleroi.be
C. production artist;Culture;Rue Emile Van Geersdaele 61;6020;Dampremy;michellaruga86@gamil.com
Capoeira art et culture du brésil;Sport / Loisirs;Rue de Marchienne 78;6110;Montigny-le-Tilleul;houbenlaure@hotmail.com
Carolo moussem;Culture;Boulevard Tirou 213/6;6000;Charleroi;
Cecifoot charleroi;Sport / Handicap;Rue du Cimetière 23 J;6032;Mont-Sur-Marchienne;
Cellule d'intégration par le sport (cis);Sport;Route de Mons 70;6030;Marchienne-au-Pont;gerard.duquesne@charleroi.be
Centre de formation pour educateurs;Enseignement;Rue de Courcelles 10;6044;Roux;cesa@cesa.be
Centre de formation sociale et culturelle pour travailleurs à Charleroi;Education / Formation;Boulevard Emile Devreux 36-38;6000;Charleroi;cenforsoc.secretariat@cenforsocasbl.be
Centre de guidance;Santé;Rue Léon Bernus 22;6000;Charleroi;centrebernus40@hotmail.com
Centre communal d'information sur le sida et les infections sexuellement transmissibles;Santé;Boulevard Zoé Drion 1 3ème étage;6000;Charleroi;sidamst@chu-charleroi.be
Centres psycho-médico-sociaux libres de la région de charleroi;Education / santé;Route de Beaumont 71;6030;Marchienne-au-Pont;cpmsl.map@skynet.be
Cercle des finances de charleroi;Justice et droit;Rue Jean Monnet 14 bte 8 (local 629);6000;Charleroi;v.ricci@caramail.com
Charleroi adventure city safari;Culture / Tourisme;Rue Goor 64;6061;Montignies-sur-Sambre;charleroi.image@commu.be
Chorale a cœur joie régionale de charleroi;Culture;Avenue Jean 1er 2;5000;Namur;annemariemasy@skynet.be
Cinéastes club jumetois;Culture;Place de la Constitution 17 / 1;6001;Marcinelle;louis_ricotta@voo.be
Circomédie;Culture / Loisirs;Rue de l'Abbaye 251;6220;Fleurus;info@circomedie.be
Club & ecurie automobile du pays-noir;Sport / Loisirs;Rue de la Flanière 134;6043;Ransart;acpaysnoir@voo.be
Comité de quartier charleroi ville-haute;Affaires sociales;Rue de la Montagne 82/12;6000;Charleroi;comitequartiercharleroivhaute@gmail.com
Comité du carnaval de charleroi;Culture / Tourisme;Boulevard Jacques Bertrand 68;6000;Charleroi;daniel.falise@hotmail.com
Comité solidarité jeunesse;Jeunesse;Rue de l'Union 85;6040;Jumet;comitesolidaritejeunesse@hotmail.com
Comme chez nous (le rebond);Affaires Sociales;Rue Léopold 36;6000;Charleroi;secretariat.ccn@gmail.com
Communauté du glyphe;Affaires Sociales |Formation;Rue Jean Dulait 1;6001;Marcinelle;bureau@ecrivains-publics.be
Communauté hellénique de charleroi et environs;Immigration / Intégration;Rue Omer Lefèvre 40;6000;Charleroi;hellas@brutele.be
Comptoir des ressources créatives charleroi;Culture;Rue Boulevard Audent 18;6000;Charleroi;amhaegem@yahoo.fr
Conseil des femmes francophones de belgique;Justice et droit;Rue Tumulaire 77;6000;Charleroi;cffbcharleroithuin@gmail.com
Country club accused;Loisirs;Rue du Souverain 29;6040;Jumet;ppr@live.be
Courir à pied ou marcher pour le don d'organes;Sport / Santé;Rue des Peines Perdues  11;6000;Charleroi;michdrygal@yahoo.fr
C-prévu;Affaires sociales;Rue Louis Biernaux 97/a023;6040;Jumet;lamy.jm@outlook.be
Dial loisirs;Santé;Rue try du scouf 2;6032;Mont-sur-Marchienne;esalvaflm@hotmail.com
Dumtak;Sport / Loisirs;Place Charles Brogniez 20;6140;Fontaine-l'Evêque;dumtak@skynet.be
Ecole technique cynophile;Bien-être des animaux;Rue de la Babotterie 125;6001;Marcinelle;ecoletechniquecynophile@skynet.be
El bwesse à tèyate;Culture;Rue du Commerce 1 Bte 123;6000;Charleroi;
En sol mineur;Culture;Rue de Cartier 44;6030;Marchienne-au-Pont;ensolmineur@skynet.be
Enfance maltraitée;Enfance / Jeunesse;Rue Léopold 11-15;6000;Charleroi;apepcharleroi@yucom.be
Enrico lancellotti & friends;Culture;Rue de Courcelles 48;6044;Roux;michel.rosart@rosart.be
Espace allison;Affaires sociales;Rue Thiebaut 21;6280;Gerpinnes;espaceallison@yahoo.fr
Espace médina - set;immigration / Intégration;Chaussée de Fleurus 69;6060;Gilly;belgesissusdelimmigration@hotmail.com
Espace socrate;Formation / emploi;Rue de l'Hôpital 55;6030;Marchienne-au-Pont;silvanogueli@gmail.com
Events for young;Loisirs;Rue Joseph Lambillotte 138B;6040;Jumet;cestmj@hotmail.com
Opération faim et froid;Affaires Sociales;Rue Willy Ernst 41;6000;Charleroi;ffmal@hotmail.com
Formation education culture;Education / Formation;Rue Prunieau 5;6000;Charleroi;ch@fecasbl.be
Association belge des infirmier(e)s en sante mentale;Santé;Rue de Cartier 44;6030;Marchienne-au-Pont;abism@skynet.be
Fédération des autos-ecoles agréées;Formation;Rue des Crocheux 7;6140;Fontaine-l'Evêque;info@faa.be
Fédération sportive des pêcheurs francophones de belgique;Sport / Loisirs;Rue Lucien Namêche 10;5000;Namur;info@fspfb.be
Folklore patrimoine charleroi;Culture;Rue du Six Juin 36;6200;Châtelineau;positif1@live.be
Formidable;Affaires sociales;Rue du Roton 2/021;6000;Charleroi;formidable.asbl@gmail.com
Foyer emmanuel;Culte;Rue Appaumée 58;6043;Ransart;christian@foyeremmanuel.be
Golden talon belgian association;Culture;Rue d'Acoz 82;6200;Châtelet;dehon_fredla2526@yahoo.com
Grégory et mélanie;Justice et droit;Rue des Cueilleurs 8;6060;Gilly;gregetmel110715@gmail.com
Hainaut seniors gestion;Seniors;Rue du Débarcadère, 179;6001;Marcinelle;hainautseniors.charleroi@hainaut.be
Hôpi-clown;Enfance / famille;rue Vandervelde 244 B;6534;Gozée;annie@hopiclown.be
Horizon 2000;Handicap;Quai Arthur Rimbaud 20;6000;Charleroi;horizon.2000@h2000.be
Hôtel charleroi;Culture;Chemin de Bornival 42;1400;Nivelles;hotelcharleroi@gmail.com
Informatique et maintenance pour tous;Formation;Rue Tienne Saint Gilles  153;6001;Marcinelle;jm.glinne@brutele.be
Innovatech;gestion et finances;Rue Auguste Picard 20;6041;Gosselies;anita.zigah@cerdt.be
bassin efe hainaut sud;Enseignement / Formation;Avenue Général Michel 1E/Bte 7;6000;Charleroi;ibefe-hs@forem.be
Keytrade press charleroi;Sport / Loisirs;Avenue Paul Pastur 271/16;6032;Mont-sur-marchienne;jeremy.delforge@hotmail.com
La cité jardin;Nature / Environnement;Rue Paul Pastur 32;6010;Couillet;cmja@charleroi.be
La famille retrouvée;Enfance / Jeunesse;Rue de l'Eglise 46;6032;Mont-sur-Marchienne;dattolifamilleretrouvée@gmail.com
La hutte;Enfance / jeunesse;Chaussée de Bruxelles 305;6040;Jumet;lahutte@tele2.be
La maison de l'adolescent;Jeunesse;Boulevard Zoé Drion 1;6000;Charleroi;maison.ado@chu-charleroi.be
La noria;Culture / Jeunesse;Rue du Bois 27;6040;Jumet;
La troupa oli;Culture;Allée de la Grosse Haie 14;6280;Gerpinnes;pj.verheiden@belgacom.net
Le bois du cazier;Culture / Tourisme;Rue du Cazier 80;6001;Marcinelle;info@leboisducazier.be
Le bois roussel-codma;Handicap;Rue de Marchienne 32;6110;Montigny-le-Tilleul;saja@leboisroussel.be
Le déclic, service de vie féminine d'accueil de femmes et enfants victimes de violences intra-familiales;Affaires Sociales |Famille;Rue du Pont 11;6530;Thuin;ledeclic@viefeminine.be
Association de la region de charleroi pour l'aide aux handicapes mentaux;Handicap;Rue de la Poudriere 30;6060;Gilly;direction@maillon-gilly.be
Club de dressage Le meilleur ami de l'homme;Bien-être des animaux;Rue de Villers 251;6280;Gerpinnes;amath@skynet.be
Le phare;gestion et finances;Rue des Ecoles 12;6230;Pont-à-Celles;goissepac@yahoo.fr
Le regain;Santé;Avanue du Centenaire 71;6061;Montignies-sur Sambre;leregain.ihp@gmail.com
Le réseau;Handicap / Formation;Rue de Trazegnies 41;6031;Monceau-sur-Sambre;com-res@commu.be
Le restaurant du cœur de charleroi;Affaires Sociales;Boulevard Tirou 24/D1;6000;Charleroi;secretariat.charleroi@restaurantducoeur.net
Centre de planning familial et d'entretien d'aide Le terril;Affaires sociales;Rue Auguste Frison 56;6040;Jumet;celine.ghislain@butele.be
Le tricycle de la vie;Affaires sociales;Rue Auguste Portier 13;6001;Marcinelle;letricycledelavie@hotmail.be
Section régionale de charleroi de la ligue de l'enseignement et de l'education permanente;Enseignement / Formation;Rue de France 31;6000;Charleroi;cl.charles@skynet.be
Les amis du télévie;Affaires sociales;Rue du Petit Pige, 98;6000;Charleroi;lesaccrosdutelevie@hotmail.com - rogerroger2002@hotmail.com
Maison des jeunes les gais lurons;Jeunesse;Faubourg de Bruxelles 89 A;6041;Gosselies;serge.fevrier@mail.mobistar.be
Les jeux du caméléon;Handicap/Loisirs;Rue des Claires Fontaines 70;6180;Courcelles;info@lesjeuxducameleon.be
Les petits câlins;Enfance;Rue Prunieau 5;6000;Charleroi;petitscalins@help2me.com
L'eveil;Jeunesse;Rue Joseph Wauters 48;6043;Ransart;eveil-mona@commu.be
Ligue belge des sophro-conseillers;Santé;Rue du Travail 58-62;6200;Chatelineau;infos@sophroconseillers.org
Ligue handisport francophone;Handicap;Avenue du centenaire 69;6061;Montignies-sur-Sambre;info@handisport.be
M.e.s  ( sourds et malentendants );Handicap;Rue du Cazier 80;6001;Marcinelle;a.mathieu@leboisducazier.be
Maison de l'imprimerie et des lettres de wallonie;Culture;RUe Verte 1 B;6530;Thuin;maisonimprimerie@hotmail.com
Maison de quartier  la broucheterre;Affaires sociales;Rue Bayemont, 28/7;6000;Charleroi;mqbroucheterre@yahoo.fr
Maison des jeunes et de la culture de couillet;Jeunesse;Rue Maximilien Luce, 62;6010;Couillet;mjccouillet@outlook.com
Maison médicale la glaise;Santé;Rue Léon Dubois, 241;6030;Marchienne-au-Pont;contact@mmlaglaise.be
Mbc sports et loisirs concept;Santé;Rue du Cimetière 23 J;6032;Mont-sur-Marchienne;dancingclub_msm@hotmail.com
Médecine pour le peuple - Marcinelle;Santé;Rue de la Vieille Place 67;6001;Marcinelle;annefelix.mplp@gmail.com
Mimosas;Education / Formation;Avenue Général Michel 1B;6000;Charleroi;reginetshinguta@yahoo.fr
Némésis charleroi;Affaires Sociales;Place du Nord Michel Levie 22;6000;Charleroi;direction@nemesischarleroi.be
Neptune club gosselien;Sport / Loisirs;Chaussée de Nivelles 201;6041;Gosselies;neptune_club_gosselies@yahoo.com
N'os marraines;Bien-être des animaux;Route de la Basse Sambre 121/11;6060;Gilly;bambouetisa34@hotmail.com
Observatoire du crédit et de l'endettement;gestion et finances;Place Albert 1er Château de Cartier 38;6030;Marchienne-au-Pont;info@observatoire-credit.be
Oryx projekt;Culture;Rue Marechal Foch 1 bt 1/1;6200;Châtelineau;oryxprojekt@gmail.com
Patrie, foi , science;Culte;Rue de l'Ange, 34;6001;Marcinelle;emile.tassin@skynet.be
Quai 10;Culture;Quai Arthur Rimbaud 10;6000;Charleroi;contact@quai10.be
Régie de quartier de gosselies;Affaires sociales;Rue J. Massau 4;6041;Gosselies;rdqchl.sac.gosselies@gmail.com
Relais social du pays de charleroi;Affaires Sociales;Boulevard Jacques Bertrand 10;6000;Charleroi;relais.social.charleroi@skynet.be
Renegades roller derby charleroi;Sport / Loisirs;Rue des Bois  16;6001;Marcinelle;renegades.secretariat@gmail.com
Royal football club Gilly section jeunes;Sport;Rue des Vallées 13;6060;Gilly;severino-toto@hotmail.com
Rockerill production;Culture;Rue de la Providence 136;6030;Marchienne-au-Pont;m.sacchi@hch.be
Royal climbia's club;Culture;Place Edmond Gilles 20;6042;Lodelinsart;francisdebruyne@brutele.be
Système d'accompagnement a la creation d'enreprises;Emploi / formation;Avenue Général Michel 1E/Bte 18;6000;Charleroi;info@sace-asbl.be
Saint lambert - château mondron;Affaires sociales;Chaussée du Château Mondron 57;6040;Jumet;adrien.laduron@chateau-mondron.be
Service d'accompagnement pour personnes handicapees en milieu ouvert;Handicap;Rue des Goutteaux 17;6032;Mont-sur-Marchienne;asblsapho2@hotmail.com
Sarah - Centre de formation a l'ecoute, a l'accompagnement et au bien-etre personnel et professionnel;Santé;Boulevard Drion ( espace santé ) 1;6000;Charleroi;asbl.sarah@skynet.be
Scrabbleroy;Loisirs;Rue de la Plagne 49;6110;Montigny-le-Tilleul;brevearcadie@skynet.be
Service d'aide à la jeunesse;Enfance / Jeunesse;Rue de la Rivelaine 7;6061;Montignies-sur-Sambre;saj.charleroi@cfwb.be
Simba mosala;Education / Formation;Rue du Bosquet 25;6141;Forchies-la-Marche;elisabeth2912@hotmail.com
Société royale d'archéologie, d'histoire et de paleontologie de charleroi;Culture;Rue de Montigny 4é étage 101;6000;Charleroi;archeologiecharleroi@gmail.com
Solidarité des alternatives wallonnes et bruxelloises;gestion et finances;Rue Monceau-Fontaine 42 / 6;6031;Monceau-sur-Sambre;info@saw-b.be
Solidarités nouvelles;Affaires Sociales;Boulevard Jacques Bertrand 8;6000;Charleroi;solidanouv@commu.be
Song neeba;Affaires sociales;Avenue E. Mascaux, 311;6001;Marcinelle;info@songneeba.org
Travailleurs associatifs qualifies des quartiers wallons de tout ages;Affaires sociales;Rue Jacques Lion 75;6040;Jumet;asbltaqwa@gmail.com
Terre d'aventures;Affaires sociales;Rue Marie Danse 9 RC;6000;Charleroi;terredaventures@laposte.net
Théâtre de l'ancre;Culture;Rue de Montigny 122;6000;Charleroi;info@ancre.be
Timobe;immigration / Intégration;Rue Pierre Joseph Lecomte 37;6020;Dampremy;timobe@hotmail.fr
Un temps pour aimer;Affaires sociales;rue vandervelde 5;6040;Jumet;untempspouraimer@gmail.com
Un toit;Affaires Sociales;Rue Albert 1er 86;6043;Ransart;degroote-jeanmarie@live.be
Une nouvelle ville;gestion et finances;Place Jean Jaurès 30;6040;Jumet;mpa-nermin
Union des anciens etudiants de l'ulb, régionale de charleroi - le centre;Enseignement;rue de France 31;6000;Charleroi;ksalade@hotmail.com
United eagles dancers;Loisirs;Rue  Biernaux, 7;6040;Jumet;danielclement@hotmail.fr
2mad école de danse;Sport;Rue Jules Destrée 96b;6001;Marcinelle;melanie@2mad.be
Accompagnement de jeunes en milieu ouvert;Jeunesse;Rue Willy Ernst 29;6000;Charleroi;ajmo@commu.be
Accordéon magique;Affaires sociales;Rue Edmond Jacquin 105;6030;Marchienne-au-Pont;papyon.erik@hotmail.com
Acp saint eloi;Affaires sociales;Rue de la Siderurgie 1;6031;Monceau-sur-Sambre;contact@sogimsyndic.be
Actions viens voir;Affaires sociales;Boulevard jacques Bertrand 25 A;6000;Charleroi;ajda.bestt@yahoo.fr
Algériens de belgique et du Luxembourg;Immigration et intégration;Rue de l'abatoir 118;6200;Châtelet (Siège Bruxelles);lindachaoichi@yahoo.fr
Allaitement infos;Santé;Rue de la Brasserie 2;6061;Montignies sur Sambre;tompouce159@hotmail.com
Alliance pour un monde juste;Immgration et intégration;Rue Arthur Decoux 9;6020;Dampremy;alljusteasbl@yahoo.fr
Amnesty international hainaut oriental;Justice et droit;Avenue Elisabeth 6/11;6001;Marcinelle;ngrolet@base.be
Amo  point jaune;Jeunesse;Rue du Palais 12;6000;Charleroi;info@pointjaune.be
Ancienne abbaye de soleilmont;Culture / Tourisme;lieu-dit Abbaye de Soleilmont 1;6060;Gilly;nathalie.zune@gmail.com
Animations de quartier de jumet heigne;Affaires sociales;Rue Sohier 57;6040;Jumet;fa400663@skynet.be
Arc-en-terres;Affaires sociales;Rue Pierre Bauwens 37;6030;Marchienne-au-Pont;arcenterres@gmail.com
Arts en stock;Culture;Rue de Marcinelle  27;6000;Charleroi;info@jeanmichel.be
Assemblée chrétienne de fontaine l'evêque;Culte;Rue Louis Delattre 23;6140;Fontaine-l'Evêque;jean_pierregrelak@hainaut.be
Association carolo d'improvisation;Culture;Rue de l'espinette 89;6142;Leernes;contact@improcarolo.be
Association culturelle et sociale;Education / Formation;Avenue Roosevelt 39;6041;Gosselies;alphaba777@gmail.com
Association des vétérinaires de charleroi;Bien-être des animaux;Rue des Goutteaux 71;6043;Ransart;lorentau@hotmail.com
Association internationale paix et démocratie;Affaires sociales;Boulevard Tirou, 253;6000;Charleroi;debasesa@hotmail.com
Association libre des arts martiaux d'europe;Sport;Rue Saint- Roch 66;6041;Gosselies;fa109601@skynet.be
Association muro lucanese;Culture / Tourisme;Rue des Carrières 89;6030;Marchienne-au-Pont;mentinovi@auto2.be
