NOM;TVA;Forme Juridique;Nom du PAE;Adresse;CP;Localité;Téléphone;Fax;ACTIVITE;N° parcelle
GREGOIRE TOOLS;862998706;;P.A.E. de Charleroi-Jumet;Allée Centrale, 74;6040.0;JUMET;071/32 03 20;071/32 19 70;Vente d'outillage industriel;50
L'ENVOL-CHARLEROI;non assujetti;;P.A.E. de Charleroi-Jumet;Première rue 23;6040.0;JUMET;071/35 59 08;071/34 67 57;Service d'accueil de jour pour adultes déficients mentaux;51
SIP-WELL;450274592;;P.A.E. de Charleroi-Jumet;Allée Centrale, 5;6040.0;JUMET;052/89 08 12;;Livraison de bouteilles d'eau;6
SOFTIMAT SUD;432137968;;P.A.E. de Charleroi-Jumet;Allée Centrale 52;6040.0;JUMET;071/25 58 11;;Immobilière;
SYSTEMAT SOURCING CENTER;643976466;;P.A.E. de Charleroi-Jumet;Allée Centrale 52;6040.0;JUMET;071/25 58 11;071/25 58 00;Commerce de gros de matériel informatique;53
TRAINING SOLUTIONS;843405496;;P.A.E. de Charleroi-Jumet;Première Rue, 5;6040.0;JUMET;071/25 91 34;071/25 91 48;Formation sécurité, logistique et VCA;8
BELGIUM RECYCLING PALLETS;455515661;S.A.;PAE de Thuin-Lobbes;Avenue Deli XL 6;6530.0;THUIN;071/37 49 54;;Réparation de pallettes;
CEWALOR;432824886;S.P.R.L.;PAE de Thuin-Lobbes;Rue des Fauldeurs 1;6530.0;THUIN;071/59 96 63;071/59 96 71;Location vente de matériel d'aide et de soins;
DPE DIVING;867867215;S.P.R.L.;PAE de Thuin-Lobbes;Rue des Essart 5;6530.0;THUIN;071/55 79 05;071/55 79 05;Travaux de plongée à inspection, nettoyage, montage, découpe;
ENTREPRISES LOMBET;456776166;S.A.;PAE de Thuin-Lobbes;Rue des Fours à Coke, 3;6530.0;THUIN;071/46 15 55;;Matériel de concassage;
MULTI SERVICES DECOUPE;447345885;S.A.;PAE de Thuin-Lobbes;Rue des Fauldeurs 6;6530.0;THUIN;071/59 75 75;071/59 75 76;Fabrication métallique;
REFRIGERATION LAMBERT;457080232;S.P.R.L.;PAE de Thuin-Lobbes;Rue des Fauldeurs 4;6530.0;THUIN;071/56 05 61;071/56 20 81;Climatisation & réfrigération (Vente, installation et dépannage);
DOLISY;401531104;S.P.R.L.;P.A.E. de Charleroi-Gosselies 1;Rue Piersoulx 1;6041.0;CHARLEROI;071/37 20 34;071/37 27 33;Commissionnnaire en transport et agence en douane;
EURODESK.BE;631834937;S.C.S.;P.A.E. de Charleroi-Gosselies 1;Avenue des Etats-Unis 7;6041.0;CHARLEROI;071/37 44 97;;Espace de coworking;4
GRUBBER LOGISTICS;867306395;S.P.R.L.;P.A.E. de Charleroi-Gosselies 1;Avenue des Etats-Unis 80;6041.0;CHARLEROI;071/37 47 00;071/35 89 83;Transport;2
TRANSPORTS VANDEVELDE;402606715;S.A.;P.A.E. de Charleroi-Gosselies 1;Rue Piersoulx  1;6041.0;GOSSELIES;071/35 52 38;071/35 64 24;Transport logistique alimentaire;
DANNEELS JOSE;669040078;P.P.;PAE de Beaumont;Zone Artisanale de Beaumont, Route de Mons;6500.0;BEAUMONT;067/44 45 78;071/44 45 14;Négociant en matériel Agricole;
SOBELPAC;440000809;S.A.;PAE de Beaumont;Chaussée de Mons 2;6500.0;BEAUMONT;071/58 95 13;071/58 85 08;Stockage de matériel et fourniture d'emballage destinés à la revente;
D.F. PLASTIQUE;861555384;S.P.R.L.;P.A.E. du Roton;Rue du Roton 28;6240.0;FARCIENNES;071/45 07 27;071/45 07 28;Pièces thermoplastiques et thermodurcissables;3
DEULIN;;;P.A.E. de Charleroi-Airport 2;Rue de Gosselies 13;6040.0;JUMET;;;;Atlas bureau
PERENNIAL;842006025;S.P.R.L.;P.A.E. de Charleroi-Airport 2;Rue de Gosselies 13;6040.0;JUMET;;;Commerce de gros;Atlas atelier
TD CONSTRUCTION ET RENOVATION;500951946;S.P.R.L.;P.A.E. de Charleroi-Airport 2;Rue de Gosselies 13;6040.0;JUMET;;;Construction générale de bâtiments résidentiels;Atlas atelier/bureau
IMPRIMERIE DESHORME;457239390;S.P.R.L.;PAE de Momignies;Zone Plantis des Aisements 2;6590.0;MOMIGNIES;060/51 26 36;060/51 26 07;Imprimerie de journaux;
DEMAUDE PASCAL;450608748;S.P.R.L.;Technoparc de Thudinie;Technoparc de Thudinie, 5;6536.0;DONSTIENNES;071/53 37 74;;Entreprise de toitures et conduites de cheminées;
ADEQUAT BELGIUM;637738970;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Lambusart 25;6220.0;FLEURUS;071/14 35 73;;Société d'interim;44
AIR CHIC;633674472;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Route du Vieux Campinaire 46;6220.0;FLEURUS;0475/80 41 11;;Grossiste en e-cigarettes;11
BRUTELE LOGISTIQUE;;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Spirou 32;6220.0;FLEURUS;;;Fournisseur télédistribution;38
DC ENVIRONNEMENT;864548231;P.P.;P.A.E. de Fleurus-Farciennes;Rue du Roton 57;6240.0;FARCIENNES;071/38 09 50;;Travaux de génie civil - Environnement & Assainissement;37
DE SIMONE;441135610;S.A.;P.A.E. de Fleurus-Farciennes;Rue de Fontenelle 18;6240.0;FARCIENNES;071/81 18 59;071/81 08 76;Conception et réalisation d'installations industrielles, mécaniques, pneumatiques, électriques, automation et robotiques - Machines spéciales - Suiveurs de soleil;33
DIIIZ;;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de Lambusart 25;6220.0;FLEURUS;;;E-commerce de meubles;44
GMDO;477710449;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Route du Vieux Campinaire, 48;6220.0;FLEURUS;0475/28 88 46;;Stockage divers;12
GROUPE JORDAN;415912442;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Rue de Fontenelle 33;6240.0;FARCIENNES;071/81 71 61;071/81 74 45;Installation et entretien sanitaire - chauffage - climatisation;20
GROUPE SEB BELGIUM;401515266;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de l'Espérance 25;6220.0;FLEURUS;071/82 52 35;071/82 52 09;Commerce de gros d'appareils électroménagers;48
HALLOIN SPRL;439619638;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue du Marquis 5;6220.0;FLEURUS;071/42 18 08;071/42 37 85;Fabrication de volets et portes sectionnelles;4+23
HERPI INTERNATIONAL;423892473;S.A.;P.A.E. de Fleurus-Farciennes;Avenue du Marquis 15;6220.0;FLEURUS;071/40 00 83;071/39 10 03;Fabrication d'instruments de précision, de mesure et de contrôle;6
HILTI;402914739;S.A.;P.A.E. de Fleurus-Farciennes;Rue du Vieux Campinaire 46;6220.0;FLEURUS;071/81 64 66 - 0800/972 72;071/81 16 90;Commerce de gros de machines de forage;12
HMZ MECA;428142360;S.A.;P.A.E. de Fleurus-Farciennes;Avenue du Marquis 15;6220.0;FLEURUS;071/39 10 20;071/39 10 03;Constructions mécaniques;6
INTERMONT;449175821;S.A.;P.A.E. de Fleurus-Farciennes;Rue de Martinrou 32;6220.0;FLEURUS;071/44 10 82;071/47 42 95;Transport et manutention;71
METAL MARKET;471803248;S.A.;P.A.E. de Fleurus-Farciennes;Avenue du Marquis 10;6220.0;FLEURUS;;;;
OXYGENE BELGIUM;;S.A.;P.A.E. de Fleurus-Farciennes;Route du Vieux Campinaire 46A;6220.0;FLEURUS;0475/80 41 11;;;11
SOCAFLEX;417377637;S.A.;P.A.E. de Fleurus-Farciennes;Avenue du Marquis 3;6220.0;FLEURUS;071/81 38 51;071/81 45 18;Flexibles hydrauliques;3
SOLES MUNDI;683984414;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de Lambusart 25;6220.0;FLEURUS;02/880 29 29;;Compléments alimentaires;44
SPLIFAR AUTOMOBILE;675492855;S.A.;P.A.E. de Fleurus-Farciennes;Avenue du Marquis 10;6220.0;FLEURUS;071/82 37 20;071/28 19 63;;
SPM IMMO;538995247;S.A.;P.A.E. de Fleurus-Farciennes;Avenue du Marquis 32;6220.0;FLEURUS;071/81 21 19;;Location de salles pour réunion;14
TEINTEZ VOS VITRES;;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Spirou 70;6220.0;FLEURUS;0479/44 22 60;;Equipements voitures;
TRANSRAD;433122222;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de l'Espérance 1;6220.0;FLEURUS;071/82 97 59;071/82 97 68;Transports national et international - Matières nucléaires;18
Tuyauteries Soudure Construction Métallique TSCM;863745507;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Lambusart 14;6220.0;FLEURUS;071/65 08 25;071/33 08 53;Société spécialisée en tuyauterie industrielle;43
ADVANCED LOW COST MACHINERIES FOR INDUSTRY (ALM);818252012;S.A.;P.A.E. de Courcelles;Rue de Seneffe 72;6183.0;COURCELLES;;071/81 67 90;Bureau d’études - Fabrication de machines spéciales;1 - Hall relais de Courcelles
BEPHARBEL MANUFACTURING;844689955;S.A.;P.A.E. de Courcelles;Rue du Luxembourg 13;6180.0;COURCELLES;071/46 60 66;071/46 60 69;Secteur pharmaceutique;partie de la 22
CENTRE EUROPEEN DE REPARTITION PHARMACEUTIQUE (CERP);403057962;S.A.;P.A.E. de Courcelles;Rue de Liège 31;6180.0;COURCELLES;071/46 97 40;071/36 30 54;Grossiste produits pharmaceutiques;17
E.R.P.C. (Euro Road Professional Cleaning);460424554;S.A.;P.A.E. de Courcelles;Rue du Hainaut 8-16;6180.0;COURCELLES;071/46 95 20;071/46 95 39;Lavage de véhicules - Nettoyage citernes;6 - 35 - 36
EYTELIA LABS;456542178;S.P.R.L.;P.A.E. de Courcelles;Rue de Liège 2;6180.0;COURCELLES;071/20 05 90;071/20 05 97;Fabrication de produits diététiques et cosmétiques;12
FODETRA INFRA;419453437;S.A.;P.A.E. de Courcelles;Rue de Charleroi 14;6180.0;COURCELLES;071/46 85 00;071/46 11 70;Société de terrassement - Pose de conduites (eau, gaz) - Pose de câbles (électriques, téléphoniques);31 - 30 partie
G&V;461054460;;P.A.E. de Courcelles;Rue du Hainaut, 1;6180.0;COURCELLES;056/73 30 00;;Station-service;35
GMED HEALTHCARE;822358674;BVBA;P.A.E. de Courcelles;Rue de Luxembourg 5;6180.0;COURCELLES;071/46 93 11;071/46 93 00;Entreposage et gestion de stocks d'appareils médicaux et produits logistiques;20
INDUSTRIAL & MARINE AIR CENTER In Mac;893826294;S.A.;P.A.E. de Courcelles;Rue de Charleroi 38;6180.0;COURCELLES;071/45 18 20;;Fournisseur de matériel pour compresseurs à air;38
L'ARTISANE FOOD;452251909;S.A.;P.A.E. de Courcelles;Rue de Charleroi 8;6180.0;COURCELLES;071/38 53 58;071/38 99 41;Fabrication et distribution de pizzas et plats cuisinés sous-vides;34 - 45
MAN TRUCK & BUS;420069782;S.A.;P.A.E. de Courcelles;Rue de Liège 3;6180.0;COURCELLES;071/91 90 19;071/91 90 17;Garage poids lourds;52
N&W GLOBAL VENDING;438637760;S.A.;P.A.E. de Courcelles;Rue de Seneffe 48;6180.0;COURCELLES;071/46 81 20;071/46 81 29;Distributeurs automatiques machines à café;33
SATIM;100377486;S.P.R.L.;P.A.E. de Courcelles;Rue de Charleroi 11;6180.0;COURCELLES;071/45 45 87;;Production de gaines de ventilation;44
SELECT PRODUCT;441567457;S.A.;P.A.E. de Courcelles;Rue de Liège 5;6180.0;COURCELLES;071/46 60 30;;Atelier de découpe et préparation de viande;25
SITA;457054102;S.A.;P.A.E. De Courcelles;Rue de Liège 9;6180.0;COURCELLES;071/89 90 90;064/23 90 99;Importation et distribution de produits d'alimentation;16
AMERIGO PELUSI;878165744;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de Spirou 70;6220.0;FLEURUS;071/81 25 64;071/81 07 70;Décoration - Peinture - Revêtement sol et mur;51
ANGEL;859632014;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Rue Omer Lison 22 bte1;6220.0;FLEURUS;071/87 40 39;;Fabrication de moteurs, de génératrices et de transformateurs électriques;
BENVITEC PIPING;449252035;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Spirou 22;6220.0;FLEURUS;071/87 04 80;071/37 48 74;Assainissement - dépollution - étanchéité - Etude et travaux de génil civil assurant la protection de l'environnement - tuyanterie industrielle - protection incendie;60
BERNARD INVEST*;842005233;S.A.;P.A.E. de Fleurus-Farciennes;Rue le Marais, 14;4530.0;VILLERS LE BOUILLET;085/274 260;;Logistique;88
BOUCHONS LECLERCQ;458975195;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de l'Espérance 31;6220.0;FLEURUS;071/81 10 56;071/81 50 03;Fabrication de bouchons;83
DM CABLES;462884691;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de l'Espérance 29;6220.0;FLEURUS;071/40 33 14;071/40 15 03;Travaux d'installations électriques;78
EDILTECO BENELUX;455265540;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Fontenelle 5;6220.0;FLEURUS;02/524 09 10;02/524 33 67;Isolation accoustique et thermique;29
ENGEFOR - SMET;432405412;N.V.;P.A.E. de Fleurus-Farciennes;Avenue de Spirou 22;6220.0;FLEURUS;071/87 04 70;071/35 83 74;Technique de nappes phréatiques;60
GENIE ROUTE - VOLVO TRUCK;411673641;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Route du vieux Campinaire 54;6220.0;FLEURUS;071/82 39 70;071/82 39 71;Vente et réparation poids lourds + engins de génie civil;19
HANSA-FLEX HYDRAULICS;454891101;S.A.;P.A.E. de Fleurus-Farciennes;Route du Vieux Campinaire, 48;6220.0;FLEURUS;071/40 46 97;071/40 46 95;Leader européen des fournisseurs de systèmes dans le domaine de l’hydraulique;12
INTER-COMPOSITE;436900470;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Route du Vieux Campinaire 46;6220.0;FLEURUS;071/81 58 49;;Commerce de gros de bois;11
IRE (Institut des radios éléments);408499677;F.U.P.;P.A.E. de Fleurus-Farciennes;Avenue de l'Espérance 1;6220.0;FLEURUS;071/82 92 99;071/81 38 12;Industrie nucléaire;18
KALIMERO & CO;659941973;S.C.A.;P.A.E. de Fleurus-Farciennes;Route du Vieux Campinaire 46A;6220.0;FLEURUS;0475/80 41 11;;Impression textiles;11
MEDICOTRONIX;441707712;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de l'Espérance 44;6220.0;FLEURUS;071/87 78 73;071/81 98 75;Vente, entretien et réparation de matériel médical et dentaire;79
MGC MECHANICAL GLASS CENTER;866634919;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Spirou 32;6220.0;FLEURUS;071/24 38 78;071/41 67 19;Traitement des métaux;
MOUCHERON SERVICE MECANIQUE PALLFINGER;874936337;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de Spirou, 37-41;6220.0;FLEURUS;071/81 90 82;071/37 52 50;Montage de grue;40 et 41
NATUR'INOV;480000837;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de Lambusart 24;6220.0;FLEURUS;071/21 37 30;;Production de produits alimentaires;62
SEM (SCAFFIDI EBENISTERIE MENUISERIE);468634219;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Rue de Martinrou 24;6220.0;FLEURUS;071/39 81 07;071/39 73 77;Menuiserie - Ebénisterie;77
TECHNICHEM;427233233;S.A.;P.A.E. de Fleurus-Farciennes;Rue de Fontenelle 25;6240.0;FARCIENNES;071/81 32 34;071/81 02 47;Fabrication de produits chimiques pour le bâtiment;22+32
TUBEX BVF;461292606;S.A.;P.A.E. de Fleurus-Farciennes;Rue du Vieux Campinaire 40;6220.0;FLEURUS;071/81 24 17;071/81 38 84;Construction métallique - Chaudronnerie;9
VOSS-INTERNATIONAL;446904437;S.A.;P.A.E. de Fleurus-Farciennes;Rue de Martinrou 32;6220.0;FLEURUS;071/29 88 10;;Transports routiers;71
WAVIN BELGIUM;405062397;S.A.;P.A.E. de Fleurus-Farciennes;Chaussée de Fleurus 2;6240.0;FARCIENNES;071/24 34 92;071/39 78 22;Négoce matériaux pour égouttage;
WORLD TRADE COMPANY (WTC);443861013;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Spirou 6;6220.0;FLEURUS;071/87 58 45;071/87 58 46;;26
AIGRISSE;405922135;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue du Rabiseau 2-4;6220.0;FLEURUS;071/35 20 26;071/35 48 58;Vente et réparation de moteurs électriques de toute marque (courant alternatif et continu), pompes, ventilation, moto-réducteurs;13
APOK Fleurus;447875427;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Bassin 23;6220.0;FLEURUS;071/82 23 30;071 82 23 35;Eshop toiture façade;
ARCELOR MITTAL CONSTRUCTION BELGIUM;450472948;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Berlaimont 21b;6220.0;FLEURUS;071/87 05 40;071/87 05 41;Traitement des métaux;70
ATELIER BELGE DE LA MANUTENTION (ABM-TECHNA);449371009;S.A.;P.A.E. de Fleurus-Martinrou;Rue des Sources 5;6220.0;FLEURUS;071/85 82 80;071/85 82 89;Négoce en pièces détachées industrielles (manutention - transmission - motorisation);48 - 47
BPOST - CENTRE DE TRI;214596464;S.A. de droit public;P.A.E. de Fleurus-Martinrou;Rue du Rabiseau 14;6220.0;FLEURUS;022/76 45 10;022/76 46 67;Centre de tri postal;22
CERAM DECOUPE;534895612;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Progrès 10;6220.0;FLEURUS;071/88 64 04;;Découpe de carrelage et taille de pierre;50
DIAROTECH;463210137;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Rabiseau 19;6220.0;FLEURUS;071/82 28 28;071/82 28 29;Fabrication d'outils diamantés;26
DLV IMPORT;432432631;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Progrès 4;6220.0;FLEURUS;071/33 16 17;;Commerce de gros de vêtements, pièces et accessoires;53
EMBALLAGES GRUSELLE-SINOBOX;448350331;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue du Rabiseau 12;6220.0;FLEURUS;071/30 44 14;071/30 15 51;Fabrication de boîtes d'emballages en carton;16
GARAGE MERCIER;715183176;P.P.;P.A.E. de Fleurus-Martinrou;Rue du Berlaimont 9;6220.0;FLEURUS;071/81 42 37;071/81 42 37;Garage, atelier et show-room;7
ITC MULTIMEDIA;477492101;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue des Fabriques 4;6220.0;FLEURUS;071/ 35 13 84;071/411 391;Commerce de gros matériel informatique, jeux;37
JM PERFORMANCE;897493785;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue du Rabiseau 17;6220.0;FLEURUS;071/41 42 85;071/41 42 85;Moteurs Porsche, usinage, restauration, mécanique automobile;17
LEGENDS BIKE;;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Progrès 10/1;6220.0;FLEURUS;071/87 59 80;;;55
LESTCO;471597865;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Berlaimont 12;6220.0;FLEURUS;071/87 00 02;071/87 63 06;Construction métallique;35
MDS-DUPUIS;429160563;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Progrès 1;6220.0;FLEURUS;071/600 500;071/800 229;Logistique;55
SODRAEP;;S.A.;P.A.E. de Fleurus-Martinrou;Rue des Fabriques 8;6220.0;FLEURUS;;;Génie civil;39
TECNA;437245910;S.A.;P.A.E. de Fleurus-Martinrou;Rue des Sources 5;6220.0;FLEURUS;071/85 85 02;071/85 85 09;Construction et montage métallique et mécanique;47-48
WM ELECTRICITE;877006791;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue des Sources 4;6220.0;FLEURUS;071/45 32 45;;Electricité générale, domotique, éclairage;
AUTO EST;476911980;S.A.;P.A.E. de Montignies-sur-Sambre;Chaussée de Châtelineau 280;6061.0;MONTIGNIES-SUR-SAMBRE;071/20 07 80;;Concession voitures;1
AUTOCONTROLE DRIVE;536932909;S.P.R.L.;P.A.E. de Montignies-sur-Sambre;Rue Brachot 4;6061.0;MONTIGNIES-SUR-SAMBRE;;;Entretien et réparation général d'automobiles;30
GAUME;454357995;S.A.;P.A.E. de Montignies-sur-Sambre;Rue des Pays-Bas 4;6061.0;MONTIGNIES-SUR-SAMBRE;071/20 23 20;071/20 23 23;Fabrication chassis pvc - alu;3
MC TERRASSEMENTS;862803023;S.P.R.L.;P.A.E. de Montignies-sur-Sambre;Rue Champeau;6061.0;MONTIGNIES-SUR-SAMBRE;071/30 98 11;071/30 98 11;Containers - Terrassement - Nivellement;27
MECANELEC INDUSTRIES;455849619;S.A.;P.A.E. de Montignies-sur-Sambre;Rue Champeau 28;6061.0;MONTIGNIES-SUR-SAMBRE;071/30 89 80;071/30 89 81;Mécanique générale et de précision;20
PASSAUTO;876053322;S.P.R.L.;P.A.E. de Montignies-sur-Sambre;Rue du Marais 36;6061.0;MONTIGNIES-SUR-SAMBRE;071/31 13 11;071/32 23 22;Contrôle technique - Entretien véhicule;8
PRINTBOX;860086726;S.P.R.L.;P.A.E. de Montignies-sur-Sambre;Rue du Brachot, 11;6061.0;MONTIGNIES-SUR-SAMBRE;071/43 23 33;071/43 23 37;Imprimerie et broderie sur textile;21
YODA CARROSSERIE Service;882932996;S.P.R.L.;P.A.E. de Montignies-sur-Sambre;Rue Champeau 57;6061.0;MONTIGNIES-SUR-SAMBRE;071/70 34 71;;Réparation carrosserie;12
AUTO EXCLUSIVE;461728314;S.P.R.L.;P.A.E. de Fleurus-Heppignies;Avenue Alexandre Fleming 9;6220.0;HEPPIGNIES;071/35 65 65;071/34 63 71;Vente et placement - Leasing jantes, pneus, suspension sport;22
BELGIAN ELECTRONIC ENGINEERING B.E.E.;426265510;S.A.;PA.E. de Fleurus-Heppignies;Avenue de Heppignies 21;6220.0;HEPPIGNIES;085/71 25 72;;Fabrication de composants électroniques;3
BIPP - BIPP;429836890;S.A.;P.A.E. de Fleurus-Heppignies;Avenue de Heppignies 1;6220.0;HEPPIGNIES;071/91 99 99;071/35 03 32;Fabrication de stores vénitiens;3
CARRELAGE BERTRAND;433334038;S.A.;P.A.E. de Fleurus-Heppignies;Rue du Capilone 5;6220.0;HEPPIGNIES;071/85 03 05;;Carrelages - Entreposage de marchandises;31
FENDOORS;419293188;S.A.;P.A.E. de Fleurus-Heppignies;Avenue de Heppignies 30-32;6220.0;FLEURUS;;;Fabrication de chassis;
ISOTHERMIC;405881058;S.A.;P.A.E. de Fleurus-Heppignies;Avenue de Heppignies 34;6220.0;HEPPIGNIES;071/37 20 94;071/37 38 29;Isolation industrielle;16
P ET A COMPANY;443397193;S.A.;P.A.E. de Fleurus-Heppignies;Avenue de Heppignies 31;6220.0;FLEURUS;071/37 39 12;071/37 39 94;Commerce de gros - détail vêtements;18
123 AUTOMATION Engineering & Development;820888531;S.P.R.L.;P.A.E. de Frasnes-lez-Gosselies;Rue des Artisans 4b;6210.0;FRASNES-LEZ-GOSSELIES;;071/49 03 22;Activités d'ingénierie et de conseils techniques;
BESANGER GEORGES ET GENEVIEVE;535399022;P.P.;P.A.E. de Frasnes-lez-Gosselies;Chemin du Saucy 13;6210.0;FRASNES-LEZ-GOSSELIES;;02/633 58 64;Entretien et réparation de matériel forain;16
BRAINE MAZOUT;417621622;S.P.R.L.;P.A.E. de Frasnes-lez-Gosselies;Rue des Artisans 2;6210.0;FRASNES-LEZ-GOSSELIES;071/85 34 68;071/85 31 73;Mazout;26
NEDERS - ROUSSEAU;;;P.A.E. de Frasnes-lez-Gosselies;Chemin du Saucy;6210.0;FRASNES-LEZ-GOSSELIES;;;Logistique pour activité foraine;19
PHILAGRI;428902128;S.P.R.L.;P.A.E. de Frasnes-lez-Gosselies;Rue Uyttebroeck 4;6210.0;FRASNES-LEZ-GOSSELIES;071/87 03 20;071/87 03 25;Vente et réparation de matériel agricole;8
VANDENBEMDEN Jean;545444064;P.P.;P.A.E. de Frasnes-lez-Gosselies;Rue des Artisans;6210.0;FRASNES-LEZ-GOSSELIES;;;Entretien de matériel forain;13
BG MAT;477463395;S.P.R.L.;PAE de Baileux;Route Charlemagne 33;6464.0;BAILEUX;060/21 90 21;060/21 90 96;Location, achat-vente de matériels génie civil et horticol;
CONCEPT VERANDA;860009621;S.P.R.L.;PAE de Baileux;Route Charlemagne 7a;6464.0;BAILEUX;060/21 94 94;060/21 94 95;Verandas, pergolas et stores;
DUSAUCY GARAGE;612796411;P.P.;PAE de Baileux;Zoning industriel 20;6464.0;BAILEUX;060/21 17 61;;Garage (concessionnaire de voiture sans permis Ligier;
STA - GARAGE VOLVO;644952307;S.P.R.L.;PAE de Baileux;Route Charlemagne 7;6464.0;BAILEUX;060/21 04 45;060/21 04 40;Vente, entretien et réparation de camions;
ART-CHASSIS;862800746;S.A.;PAE de Thuin-Lobbes;Avenue Deli xl 2;6530.0;THUIN;071/59 71 71;071/59 71 79;Menuiseries extérieures en Aluminium;
ULIS DESIGN;479535435;S.P.R.L.U.;PAE de Thuin-Lobbes;Avenue Deli XL 10;6530.0;THUIN;071/55 34 60;071/55 35 18;Fabrication métallique et objet design;
NEW HERMAT;434068169;S.A.;PAE de Beaumont;Zone Artisanale - Chaussée de Mons, 3;6500.0;BEAUMONT;071/58 50 70;071/58 86 80;Fabrication, vente, grossiste sommiers et box tapissiers, têtes et pieds de lits;
ERBE;;S.P.R.L.;PAE de Momignies;Zone Plantis des Aisements 1;6590.0;MOMIGNIES;060/51 39 16;;Bureau d'études spécialisé dans les énergies renouvelables;
BEL BIRDS;662476445;S.P.R.L.;P.A.E. de Charleroi-Airport 2;Rue de Gosselies 13;6040.0;JUMET;071/34 32 35;071/49 02 13;Commerce de détail d'animaux de compagnie, d'aliments et d'accessoires pour ces animaux en magasin spécialisé;Atlas bureau
REFERANZ;639969376;S.P.R.L.;P.A.E. de Charleroi-Airport 2;Rue de Gosselies 13;6040.0;JUMET;;;Installation de chauffage, de ventilation et de conditionnement d'air;Atlas bureau
SAMPLOGS;642885415;S.P.R.L.;P.A.E. de Charleroi-Airport 2;Rue de Gosselies 13;6040.0;JUMET;071/15 94 50;;Recherche-développement en biotechnologie;Atlas atelier/bureau
UPSTREEM;656810358;;P.A.E. de Charleroi-Airport 2;Rue de Gosselies 13;6040.0;JUMET;;;Startup technologique qui développe et commercialise un système de surveillance électronique des justiciables;Atlas bureau
BERTONCELLO;653901249;;P.A.E. de Charleroi-Gosselies 2;Rue du Cerisier 18;6041.0;CHARLEROI;071/37 04 07;;Conduits de cheminées métalliques et plastiques;4
CAR OIL;434452112;S.A.;P.A.E. de Charleroi-Gosselies 2;Rue du Cerisier 2;6041.0;CHARLEROI;071/34 44 56;071/34 51 74;Raffinage de pétrole et de produits pétroliers;12
VAN MARCKE TECHNICS;450516401;S.A.;P.A.E. de Charleroi-Gosselies 2;Rue du Cerisier 1;6041.0;CHARLEROI;071/25 79 05;071/37 64 08;Magasin - Sanitaire et chauffage;3
ETS TRENTIN Benoît;715254640;P.P.;P.A.E. du Roton;Rue du Roton 12;6240.0;FARCIENNES;071/39 43 39;071/38 49 08;Négociant boissons;1
NTC;450006358;S.P.R.L.U.;P.A.E. du Roton;Rue du Roton 51;6240.0;FARCIENNES;071/40 27 60;071/40 48 33;Commerce de gros (cadeaux, articles ménagers, jouets, peluches, licences);7
BIL CAR - Dominique GOETHALS;863630689;P.P.;PAE de Solre-sur-Sambre;Espace européen 17;6560.0;SOLRE-SUR-SAMBRE;;;Réparation automobile;
ALL 4 CLEAN;813218009;;P.A.E. de Charleroi-Jumet;Quatrième rue;6040.0;JUMET;071/37 17 69;071/37 54 88;Grossiste produits d'entretien et matériels pour professionnels;19
